CODIGO,DESCRIPCION
CAPIT,Capital Federal
VICHI,Villa Chica
CLG,Colonia Liebig
BARAD,Baradero
ZARAT,Zárate
MDP,Mar del Plata
LONG,Longchamps
AGCHA,Adolfo Gonzales Chavez
ARMEN,Armenia
MCH,Mar Chiquita
MIR,Miramar
NECOC,Necochea
BELGR,Belgrano
LMIR,Lomas del Mirador
SNIC,San Nicolás
BERG,Bergamisqui
TAPA,Tapalque
CAMPA,Campamento
LAPLA,La Plata
MAGDA,Magdalena
GON,Manuel B. Gonnet
CDADI,Campamento Dadin
ABA,Abasto
RIN,Ringuelet
CSTAN,Campamento Standar Oil
CARIS,Campo Aristimuño
RAFAE,Rafael Castillo
BAHIA,Bahia Blanca
TRE,Trelew
RAW,Rawson
CDORO,Comodoro Rivadavia
BERA,Berazategui
QUI,Quilmes
VILLV,Villa Ventana
SIERR,Sierra de la Ventana
RIO,Rio Gallegos
SALA,Saladillo
CBUEN,Campo Buena Vista
CCASE,Campo Caseros
CCRES,Campo Crespo
VILMA,Villa Martelli
VILLE,Villa España
AVE,Avellaneda
DONBO,Don Bosco
EZPEL,Ezpeleta
CMEDI,Campo del Medio
CITUR,Campo Iturraspe
QUER,Querandi
VILDO,Villa Dominico
CELIS,Campo La Elisa
QUIO,Quilmes Oeste
ADROG,Adrogue
CLIMA,Campo La Lima
CNENA,Campo La Nena
CRIVI,Campo La Riviere
CISAB,Campo Santa Isabel
ALBON,Aldo Bonzi
MOR,Moron
CVOLA,Campo Volante
CLIRI,Canal Martin Irigoyen
TIGR,Tigre
CLFER,Canal San Fernando
DOCSU,Dock Sud
CANDO,Candonga
VILLT,Villa Tesei
CANNI,Canning
ECHE,Echeverria
MOREN,Moreno
SANRI,San Jose del  Rincon
ALBIO,Cantera Albion
FEDER,Cantera La Federacion
SAR,Sarandi
SLUIS,Cantera San Luis
CLAYP,Claypole
QUEM,Quempu Niyeu
RANEL,Ranelagh
DONTO,Don Torcuato
BURZA,Burzaco
QUIL,Quilco
BANFI,Banfield
PALOM,El Palomar
VILSA,Villa Sarmiento
RAFA,Rafaela
RAMA,Ramallo
RAN,Rancul
BELVI,Bella Vista
LUISG,Luis Guillón
GUERN,Guernica
RAU,Raulet
GLEW,Glew
LIBER,Libertad
CAPIL,Capilla
SANAN,San Andrés
CAPIN,Capilla de los Ingleses
PERGA,Pergamino
CASTE,Castelar
ITUZA,Ituzaingo
HURLI,Hurlingham
CATAN,Gonzalez Catán
ISIDR,San Isidro
ROSAR,Rosario
CAPSE,Capilla del Señor
VLYNC,Villa Lynch
MARTI,Martín Coronado
GARMA,De La Garma
CAPSA,Capitan Sarmiento
CARIL,Carilo
TRES,Tres de Febrero
BOSCH,Villa Bosch
BALLE,Villa Ballester
CSPEG,Carlos Spegazzini
PACHE,Gral. Pacheco
MONTE,San Miguel del Monte
PONTE,Pontevedra
VMAD,Villa Madero
MAIPU,Villa Maipu
JUN,Junin
CSOUR,Carlos T Sourigues
CTEJE,Carlos Tejedor
AREC,Carmen de Areco
TAPIA,Tapiales
VILUZ,Villa Luzuriaga
PALO,Palomar
REME,Remedios de Escalada
CARNE,Carnerillos
CARRI,Carriquiborde
SALTO,Salto
TABLA,La Tablada
MAT,La Matanza
LINI,Liniers
ALMA,Almagro
LOPE,Gral. Lopez
CASEY,Casey
VIRRP,Virrey del Pino
SAE,Saenz Peña
INSU,Villa Insuperable
NOGUE,Pablo Nogués
GRAL,Gral. Las Heras
CASTI,Castillas
CASUA,Casualidad
CATAM,Catamarca
CATRI,Catriel
CAYAS,Cayasta
CENTE,Centenario
GUERR,Central Guerrero
PATO,El Pato Centro Agricola
LEON,Cerro de los Leones
BAND,Cerro Bandera
GLORI,Cerro de la Gloria
HERMI,Cerro Hermitte
CHACH,Chachapoyas
CHALA,Chalaquilca
CHAJ,Chaja
CHAJA,Chajari
CHALL,Challaco
CHAMI,Chamical
CHAPA,Chapadmalal
CHARI,Charigue
LEUFU,Chapaleufu
CHAP,Chapar
CHAS,Chas
CHENO,Chenaut
CHIJR,Chijra
CHILC,Chilcar
MUERT,China Muerta
CHUQI,Chuquina
CINCO,Cinco Saltos
NIEVA,Ciudad de Nieva
CLAVE,Claverie
CLORI,Clorinda
COLAS,Colastine
COLMA,Colman
VELEZ,Colinas de Velez Sarsfield
COLIN,Coliniyen
BEETH,Colonia Beethoven
ITALI,Colonia Bella Italia
UDAON,Colonia Dr Gob Udaondo
ESCAL,Colonia Escalante
RUIZ,Colonia Gobernador Ruis
GUIBU,Colonia Guiburg
INCHA,Colonia Inchausti
JOSEG,Colonia Jose R Gomez
LACAP,Colonia La Capilla
VALEN,Colonia La Valentina
LAGOS,Colonia Lagos
COBAN,Colonia Las Banderitas
CHIVA,Colonia Los Chivatos
USTAR,Colonia Los Tres Ustariz
MASCI,Colonia Mascias
NARCI,Colonia Nueva Narciso
RUSA,Colonia Rusa
JOAQU,Colonia San Joaquin
MATEO,Colonia San Mateo
